Captain Tsubasa: Aratanaru Densetsu Joshou,,,
Captain Tsubasa J: Get in the Tomorrow,,,
Car & Driver presents: Grand Tour Racing '98,,,
Card Games,,,
Card Shark,,,
Cardcaptor Sakura,,,
Cardinal Syn,Kronos Digital Entertainment,,
Cargo!,,,
Carmageddon,,,
Carnage Heart,,,
Carnage Heart EZ: Easy Zapping,,,
CART World Series,,,
Casper,,,
Casper: Friends Around the World,,,
Castlevania Chronicles(Castlevania Chronicle: Akumajou Draculaen Japón),,,
Castlevania: Symphony of the Night(Akumajou Dracula X: Nocturne in the Moonlighten Japón),,,
Castrol Honda Superbike Racing,,,
Castrol Honda VTR,,,
Catan - Die erste Insel(Alemán),,,
The Cat in the Hat,,,
Cat the Ripper: Jyusanninme no Tanteishi,,,
Centipede,,,
Champion Wrestler: Jikkyou Raibu,,,
Championship Bass,,,
Championship Manager Quiz,,,
Championship Motocross featuring Ricky Carmichael,,,
Championship Motocross 2001 featuring Ricky Carmichael,,,
Championship Surfer,,,
Chaos Break,,,
Covert Ops: Nuclear Dawn/Chase the Express,,,
Checkmate,,,
Checkmate 2,,,
Cheesy,,,
Chess,,,
Chessmaster II,,,
The Chessmaster 3D,,,
Chessmaster Millennium,,,
Chicken Run,,,
Chill,Silicon Dreams,Eidos Interactive,
Choaniki,,,
Chocobo Collection,,,
Cho Eniki,,,
Chocobo Racing,,,
Chocobo's Mysterious Dungeon,,,
Chocobo's Mysterious Dungeon 2,,,
Chocobo no Fushigi Dungeon,,,
Choro Q 2,,,
Choro Q 3,,,
Choro Q Marine: Q-Boat,,,
Chris Kamara's Street Soccer,,,
Chronicles of the Sword,,,
Chrono Cross,,,
Chrono Trigger,,,
Cindy's Carribean Holiday,,,
Cindy's Fashion World,,,
Circuit Breakers,,,
The City of Lost Children,,,
Civilization II,,,
Cleopatra's Fortune,,,
Clock Tower,,,
Clock Tower: The First Fear,,,
Clock Tower II: The Struggle Within,,,
Codename: Tenka,,,
Colin McRae Rally,,,
Colin McRae Rally 2.0,Codemasters,Codemasters,2000
Colin Mcrae Rally 2.0 & No Fear Downhill Mountain Biking Twin Pack,Codemasters,Codemasters,29 de noviembre de 2002
College Slam,,,
Colony Wars,,,
Colony Wars: Red Sun,,,
Colony Wars: Vengeance,,,
Command & Conquer,,,
Command & Conquer: Red Alert,,,
Command & Conquer: Retaliation,,,
Complete Onside Soccer,,,
Community Pom,,,
Constructor,,,
Contender,,,
Contender 2,,,
Contra: Legacy of War,,,29 de noviembre de 1996
Convenience Store Manager,,,
Convenience Store Manager 2,,,
Cool Boarders,,,
Cool Boarders 2,,,
Cool Boarders 3,,,
Cool Boarders 4,,,
Cool Boarders 2001,,,
Cosmic Cookoff: Language Arts,,,
Cosmic Cookoff: Mathematics,,,
Countdown Vampires,,,
Courier Crisis,,,
Covert Ops: Nuclear Dawn,,,
Cowboy Bebop,,,
Crash Bandicoot,,,
Crash Bandicoot 2: Cortex Strikes Back,,,
Crash Bandicoot 3: Warped,,,
Crash Bash,,,
Crash Team Racing,,,
Crazy Canoes,,,
Creative Camp,,,
Creative Isle,,,
Creative Journey,,,
Creative Voyage,,,
Creatures,,,
Creatures 3: Raised in Space,,,
Cricket 2000,,,
Crime Crackers,,,
Crime Crackers 2,,,
Crime Killer,,,
Crisis Beat,,,
Crisis City,,,
Critical Blow,,,
Critical Depth,,,
Criticom,Kronos Digital Entertainment,,
Croc: Legend of the Gobbos,,,
Croc 2,,,
Crossroad Crisis,,,
Cross Tantei Monogatari,,,
The Crow: City of Angels,,,
Crusader: No Remorse,,,
Crusaders of Might and Magic,3DO,3DO,
Crypt Killer,,,
CT Special Forces: Back To Hell,,,
CT Special Forces 2,,,
CT Special Forces 3,,,
Cu-On-Pa,,,
Cubix,,,
Culdcept Expansion,,,
Cyberbots: Full Metal Madness,,,
Cyber Daisenryaku: Shutsugeki! Haruka-tai,,,
Cyberia,,,
Cybersled,,,
Cyberspeed,,,
CyberTiger,,,
Nombre del Juego Inglés / Español,Creador,Publicador,Fecha de Salida
D,WARP,Acclaim Entertainment,
Dai-3-Ji Super Robot Taisen,,,
The Dalmatians,,,
The Dalmatians 2,,,
Dance! Dance! Dance!,,,
Dance Dance Revolution,,,
Dance Dance Revolution 2nd Remix,,,
Dance Dance Revolution 2nd Remix Append Club Vol. 1,,,
Dance Dance Revolution 2nd Remix Append Club Vol. 2,,,
Dance Dance Revolution 3rdMIX,,,
Dance Dance Revolution 4thMIX,,,
Dance Dance Revolution 5thMIX,,,
Dance Dance Revolution Best Hits,,,
Dance Dance Revolution: Disney Mix(Dance Dance Revolution: Disney's Raveen Japón),,,
Dance Dance Revoution Extra Mix,,,
Dance Dance Revolution Konamix,,,
Dancing Blade Katteni Momotenshi!,,,
Dancing Blade Katteni Momotenshi II ~Tears of Eden~,,,
Dancing Stage Disney Mix,,,
Dancing Stage Euromix,,,
Dancing Stage Fever,,,
Dancing Stage Party Edition,,,
Dancing Stage presents Dreams Come True,,,
Dancing Stage presents True Kiss Destination,,,
Dance: UK,,,
Dance: UK eXtra Trax,,,
Danger Girl,,,
Danger Girls,,,
Dare Devil Derby 3D,,,
Darius Gaiden,,,
Darklight Conflict,,,
Dark Messiah,,,
Darkstalkers,Capcom,Capcom,1995
Darkstalkers 3,Capcom,Capcom,1998
Darkstone,,,
Dave Mirra Freestyle BMX,,,
Dave Mirra Freestyle BMX: Maximum Remix,,,
David Beckham Soccer,,,
Davis Cup Tennis,,,
Dead Ball Zone,,,
Devil Man,,,
Dead in the Water,,,
Dead or Alive,,,
Deathtrap Dungeon,,Eidos Interactive,
Deception III: Dark Delusion,,,
DefCon 5,,,
Delta Force: Urban Warfare,,,
Delta Force: Urban Warrior,,,
Demolition Racer,,,
Denki Guru Guru Jigoku V,,,
Densha de go,,Taito,
Densha de go! 2,,Taito,
Depth,,,
Descent,,,
Descent 2,,,
